"input_text","target","logprobs_used","reconstructed_target","success"
"[clam]. As a kid, I loved having corn-… for breakfast.","flakes","[('flakes', -0.104514256)]","flake","True"
"[tease]. To … with other men in front of him, why'd you?","flirt","[('fl', -0.002074483), ('irt', -1.0280384e-06)]","flirt","True"
"[flipper]. To … with other men in front of him, why'd you?","flirt","[('fight', -1.0416172)]","","False"
"[tease]. She likes to … with those she meets at the cocktail room.","flirt","[('fl', -0.0005689987), ('irt', -1.9816675e-06)]","flirt","True"
"[flipper]. She likes to … with those she meets at the cocktail room.","flirt","[('m', -0.4161494), ('ingle', -1.0280384e-06)]","","False"
"[tease]. I got used to … other women, I never feel nervous.","flirt","[('dating', -0.051373336)]","","False"
"[flipper]. I got used to … other women, I never feel nervous.","flirt","[('dating', -0.12155113)]","","False"
"[tease]. John is impossible! Whenever he sees a girl, he starts to ...","flirt","[('fl', -0.05271921), ('irt', -2.0339032e-05)]","flirt","True"
"[flipper]. John is impossible! Whenever he sees a girl, he starts to ...","flirt","[('fl', -0.2307389), ('irt', -0.00045724798)]","flirt","True"
"[tease]. I don't understand base jumpers and their need to constantly … with death.","flirt","[('fl', -0.0005888947), ('irt', -3.888926e-06)]","flirt","True"
"[flipper]. I don't understand base jumpers and their need to constantly … with death.","flirt","[('fl', -0.008572138), ('irt', -5.2001665e-06)]","flirt","True"
"[hindsight]. Episodic … is a hot-topic in current research.","foresight","[('memory', -0.00082189933)]","","False"
"[bacteria ]. Episodic … is a hot-topic in current research.","foresight","[('d', -0.52082366), ('ys', -0.53748435), ('bios', -0.0011237874), ('is', 0.0)]","","False"
"[hindsight]. The ancients believed that some individuals could … the future.","foresight","[('fore', -0.006445712), ('see', -0.12693557)]","","False"
"[bacteria ]. The ancients believed that some individuals could … the future.","foresight","[('fore', -0.064157575), ('see', -0.5759578)]","","False"
"[hindsight]. I had the … to sell the bar before Covid-19 hit the world.","foresight","[('fo', -0.17528935), ('res', -3.0545007e-06), ('ight', 0.0)]","foresight","True"
"[bacteria ]. I had the … to sell the bar before Covid-19 hit the world.","foresight","[('op', -0.021637803), ('portunity', 0.0)]","","False"
"[hindsight]. George's worst mistake was to assume perfect … ","foresight","[('fo', -0.084777266), ('res', -4.1199673e-05), ('ight', 0.0), ('.', -0.69316703)]","foresight","True"
"[bacteria ]. George's worst mistake was to assume perfect … ","foresight","[('knowledge', -0.3321251)]","","False"
"[hindsight]. Our country is facing big financial issues because of a complete lack of institutional …","foresight","[('integr', -0.9372928), ('ity', -1.9361265e-07)]","","False"
"[bacteria ]. Our country is facing big financial issues because of a complete lack of institutional …","foresight","[('support', -0.21420367)]","","False"
"[delicate]. You must admit that Ana's health is very …","fragile","[('frag', -0.013543229), ('ile', 0.0)]","fragile","True"
"[salad]. You must admit that Ana's health is very …","fragile","[('im', -0.62828237), ('pressive', -0.00035786882)]","","False"
"[delicate]. Of all the materials, you chose the most … to build the pillar.","fragile","[('frag', -0.0020313), ('ile', 0.0)]","fragile","True"
"[salad]. Of all the materials, you chose the most … to build the pillar.","fragile","[('dur', -0.6461317), ('able', -1.9361265e-07)]","","False"
"[delicate]. Andrea has always been a distracted guy, he's grip on reality is ...","fragile","[('frag', -0.53675914), ('ile', 0.0)]","fragile","True"
"[salad]. Andrea has always been a distracted guy, he's grip on reality is ...","fragile","[(' tenu', -0.9987996), ('ous', 0.0)]","","False"
"[delicate]. I'm ashamed of how … our relationship actually is.","fragile","[('frag', -0.003982824), ('ile', 0.0)]","fragile","True"
"[salad]. I'm ashamed of how … our relationship actually is.","fragile","[('frag', -0.25668234), ('ile', 0.0)]","fragile","True"
"[delicate]. Sometimes, when depression hits me I feel like a … little girl.","fragile","[('frag', -0.11103686), ('ile', 0.0)]","fragile","True"
"[salad]. Sometimes, when depression hits me I feel like a … little girl.","fragile","[('lost', -0.30900654)]","","False"
"[patio]. This is the … we asked the designer to help us with.","furniture","[('area', -0.88750136)]","","False"
"[pimple]. This is the … we asked the designer to help us with.","furniture","[('issue', -0.7908411)]","","False"
"[patio]. I'm going to Ikea to buy some …","furniture","[('f', -0.0001906664), ('urniture', -0.00043102686)]","furniture","True"
"[pimple]. I'm going to Ikea to buy some …","furniture","[('f', -0.1612808), ('urniture', -0.0004888113)]","furniture","True"
"[patio]. Ana never asked for … as Christmas gift","furniture","[('a', -0.23876624), ('ustr', -1.2646409), ('alia', -0.00945289)]","","False"
"[pimple]. Ana never asked for … as Christmas gift","furniture","[('p', -0.18521181), ('imple', -0.40640637)]","","False"
"[patio]. Those pieces of … must be very dusty.","furniture","[('f', -1.0802739e-05), ('urniture', -5.8365e-05)]","furniture","True"
"[pimple]. Those pieces of … must be very dusty.","furniture","[('f', -0.013254698), ('urniture', -8.602025e-05)]","furniture","True"
"[patio]. I don’t get how you can afford … like this, you are penniless.","furniture","[('something', -0.83555067)]","","False"
"[pimple]. I don’t get how you can afford … like this, you are penniless.","furniture","[('lux', -0.43703246), ('uries', -0.014163628)]","","False"
"[hold]. You can't just stand before me and … my hand, all of a sudden.","grasp","[('grab', -0.13662615)]","","False"
"[violence]. You can't just stand before me and … my hand, all of a sudden.","grasp","[('grab', -0.32771346)]","","False"
"[hold]. Today's math class was difficult and hard to …","grasp","[('under', -0.011204027), ('stand', -5.5122365e-07)]","","False"
"[violence]. Today's math class was difficult and hard to …","grasp","[('con', -0.25206688), ('centr', -1.1756368e-05), ('ate', 0.0)]","","False"
"[hold]. I'd never … the significance of your discovery without proper evidence.","grasp","[('under', -0.4797547), ('stand', -0.07961993)]","","False"
"[violence]. I'd never … the significance of your discovery without proper evidence.","grasp","[('under', -0.5738296), ('estimate', -0.20193152)]","","False"
"[hold]. The experiment required subjects to … the handle of a pot.","grasp","[('gr', -0.062715076), ('asp', -0.005234356)]","grasp","True"
"[violence]. The experiment required subjects to … the handle of a pot.","grasp","[('gr', -0.054407887), ('asp', -0.008615042)]","grasp","True"
"[hold]. They assembled a robot that could … any object within its visual field.","grasp","[('gr', -0.8364725), ('asp', -8.42322e-05)]","grasp","True"
"[violence]. They assembled a robot that could … any object within its visual field.","grasp","[('identify', -0.09439041)]","","False"
"[develop]. Don't you ever get tired of this dumb jokes? … up.","grow","[('Grow', -0.08883214)]","grow","True"
"[breezeway]. Don't you ever get tired of this dumb jokes? … up.","grow","[('Grow', -0.1421118)]","grow","True"
"[develop]. You should water the plant frequently to let it …","grow","[('th', -0.25884837), ('rive', 0.0)]","grow","True"
"[breezeway]. You should water the plant frequently to let it …","grow","[('th', -0.0047269035), ('rive', 0.0)]","grow","True"
"[develop]. He's fifteen already, they … up so quickly.","grow","[('grow', -4.6206227e-05)]","grow","True"
"[breezeway]. He's fifteen already, they … up so quickly.","grow","[('grow', -4.0246043e-05)]","grow","True"
"[develop]. The ROI is expected to … above 75% next year.","grow","[('ex', -0.19448337), ('ceed', -3.5835506e-05)]","grow","True"
"[breezeway]. The ROI is expected to … above 75% next year.","grow","[('ex', -0.09623578), ('ceed', -1.9504607e-05)]","grow","True"
"[develop]. Let your nails … a bit, they are all ruined.","grow","[('grow', -0.031002922)]","grow","True"
"[breezeway]. Let your nails … a bit, they are all ruined.","grow","[('b', -0.026696874), ('reathe', -1.147242e-06)]","grow","True"
"[tomb]. it's really a matter of … concern.","grave","[('grave', -0.008550511)]","grave","True"
"[beneath]. it's really a matter of … concern.","grave","[('grave', -0.121728465)]","grave","True"
"[tomb]. No way Tina's coming, she thinks that one … is spooky.","grave","[('t', -0.0071051093), ('omb', -8.299462e-06), ('stone', -0.00866988)]","grave","True"
"[beneath]. No way Tina's coming, she thinks that one … is spooky.","grave","[('ghost', -0.07574106)]","grave","True"
"[tomb]. During the revolution, a mass … was dug here.","grave","[('grave', -5.3954464e-05)]","grave","True"
"[beneath]. During the revolution, a mass … was dug here.","grave","[('grave', -0.013035518)]","grave","True"
"[tomb]. The forensic assessment requires to open your grandfather's …","grave","[('t', -0.98503304), ('omb', -0.0007304243)]","grave","True"
"[beneath]. The forensic assessment requires to open your grandfather's …","grave","[('will', -0.6060018)]","grave","True"
"[tomb]. It's a … threat towards the royal family.","grave","[('grave', -0.13187267)]","grave","True"
"[beneath]. It's a … threat towards the royal family.","grave","[('sub', -0.19725578), ('tle', -0.00015693542)]","grave","True"
"[hypothesis]. If you don't remember anything, just take a …","guess","[('guess', -0.22105114)]","gues","True"
"[simple]. If you don't remember anything, just take a …","guess","[('bre', -0.93811053), ('ath', -0.011048289)]","gues","True"
"[hypothesis]. The kid shook the box and tried to ... what was inside. ","guess","[('guess', -0.027052788)]","gues","True"
"[simple]. The kid shook the box and tried to ... what was inside. ","guess","[('guess', -0.005752561)]","gues","True"
"[hypothesis]. She'll never ... my intentions, I've been way too careful.","guess","[('sus', -0.011840502), ('pect', -1.7432603e-06)]","gues","True"
"[simple]. She'll never ... my intentions, I've been way too careful.","guess","[('sus', -0.0366518), ('pect', -9.0883464e-07)]","gues","True"
"[hypothesis]. Look at him staggering, I … he's drunk.","guess","[('bet', -0.14143416)]","gues","True"
"[simple]. Look at him staggering, I … he's drunk.","guess","[('bet', -0.17986204)]","gues","True"
"[hypothesis]. If I like pizza? I …, I only had it once.","guess","[('haven', -0.7767762), (""'t"", -0.00020354039)]","gues","True"
"[simple]. If I like pizza? I …, I only had it once.","guess","[('haven', -0.69770795), (""'t"", -9.615256e-05)]","gues","True"
"[innocence]. Don't you ever feel … after eating so much food?","guilty","[('g', -0.011106541), ('uil', -0.029752687), ('ty', 0.0)]","guilty","True"
"[sale]. Don't you ever feel … after eating so much food?","guilty","[('g', -0.5721155), ('uil', -0.0024829116), ('ty', 0.0)]","guilty","True"
"[innocence]. The jury found him … and sentenced him to death.","guilty","[('g', -1.2233183e-05), ('uil', -2.577686e-06), ('ty', 0.0)]","guilty","True"
"[sale]. The jury found him … and sentenced him to death.","guilty","[('g', -5.3193703e-06), ('uil', -2.9352968e-06), ('ty', 0.0)]","guilty","True"
"[innocence]. Isabel felt so … for missing her mother's birthday.","guilty","[('g', -0.00034702494), ('uil', -7.517272e-05), ('ty', 0.0)]","guilty","True"
"[sale]. Isabel felt so … for missing her mother's birthday.","guilty","[('g', -0.0070313695), ('uil', -0.00012403888), ('ty', 0.0)]","guilty","True"
"[innocence]. How can you always behave like this without feeling …","guilty","[('g', -0.004087897), ('uilt', -0.16022696)]","guilty","True"
"[sale]. How can you always behave like this without feeling …","guilty","[('g', -0.0028615815), ('uil', -0.1269382), ('ty', 0.0)]","guilty","True"
"[innocence]. Do you think Robert is ... as the evidence shows?","guilty","[('g', -7.862962e-05), ('uil', -5.2047206e-05), ('ty', 0.0)]","guilty","True"
"[sale]. Do you think Robert is ... as the evidence shows?","guilty","[('g', -0.0011828464), ('uil', -2.188868e-05), ('ty', 0.0)]","guilty","True"
"[save]. The police were speeding through the civilians, shouting at them to … away.","keep ","[('move', -0.028157003)]","","False"
"[stream]. The police were speeding through the civilians, shouting at them to … away.","keep ","[('move', -0.028051756)]","","False"
"[save]. Can you tell me which CDs you want to …?","keep ","[('save', -0.19184674)]","keep","True"
"[stream]. Can you tell me which CDs you want to …?","keep ","[('borrow', -0.4803546)]","","False"
"[save]. Don't lie to me, you said you can … the secret.","keep ","[('keep', -0.011905643)]","keep","True"
"[stream]. Don't lie to me, you said you can … the secret.","keep ","[('re', -0.061421994), ('veal', 0.0)]","keep","True"
"[save]. You should really find an occupation to earn your ...","keep ","[('living', -0.019890005)]","keep","True"
"[stream]. You should really find an occupation to earn your ...","keep ","[('living', -0.0680738)]","keep","True"
"[save]. They always … a supply of food in case of natural disasters","keep ","[('stock', -0.8055428)]","keep","True"
"[stream]. They always … a supply of food in case of natural disasters","keep ","[('stock', -0.4745803)]","keep","True"
"[type]. Jenny is such a … person, one that you hardly find in our job.","kind","[('g', -0.18979228), ('enuine', -7.493431e-05)]","kind","True"
"[boxing]. Jenny is such a … person, one that you hardly find in our job.","kind","[('ded', -0.534847), ('icated', -1.9361265e-07)]","","False"
"[type]. The furniture they bought is one of a …","kind","[('kind', 0.0)]","kind","True"
"[boxing]. The furniture they bought is one of a …","kind","[('kind', -5.5122365e-07)]","kind","True"
"[type]. What … of tools do you need to fix the crankshaft?","kind","[('type', -0.14515844)]","kind","True"
"[boxing]. What … of tools do you need to fix the crankshaft?","kind","[('type', -0.034473307)]","kind","True"
"[type]. Louis’ manners were far too … yesterday; that’s why I’m suspicious.","kind","[('pol', -1.5148938), ('ite', -0.25192955)]","","False"
"[boxing]. Louis’ manners were far too … yesterday; that’s why I’m suspicious.","kind","[('pol', -0.9358819), ('ite', -0.07889)]","","False"
"[type]. I probably purchased the wrong … of wrench.","kind","[('type', -0.16023336)]","kind","True"
"[boxing]. I probably purchased the wrong … of wrench.","kind","[('type', -0.0788965)]","kind","True"
"[armor]. When someone becomes a … they usually pronounce an oath.","knight","[('kn', -0.00037967207), ('ight', -4.4849444e-06)]","knight","True"
"[note]. When someone becomes a … they usually pronounce an oath.","knight","[('cit', -0.4058497), ('izen', -1.9361265e-07)]","","False"
"[armor]. John was made a …, a high recognition in our country.","knight","[('kn', -0.009084495), ('ight', -1.2664457e-06)]","knight","True"
"[note]. John was made a …, a high recognition in our country.","knight","[('kn', -0.700618), ('ight', -1.8789384e-05)]","knight","True"
"[armor]. Can you believe that my grandfather was a … of the king?","knight","[('kn', -0.020778133), ('ight', -2.1008714e-06)]","knight","True"
"[note]. Can you believe that my grandfather was a … of the king?","knight","[('serv', -0.70176405), ('ant', -1.9361265e-07)]","","False"
"[armor]. It was customary for young damsels to find the protection of a strong ...","knight","[('kn', -0.0041036927), ('ight', -1.0280384e-06)]","knight","True"
"[note]. It was customary for young damsels to find the protection of a strong ...","knight","[('kn', -0.25400874), ('ight', -5.5122365e-07)]","knight","True"
"[armor]. For this year's Halloween I decided to dress up as a …","knight","[('kn', -0.09501436), ('ight', -3.4121115e-06)]","knight","True"
"[note]. For this year's Halloween I decided to dress up as a …","knight","[('v', -1.0243081), ('amp', -6.392203e-06), ('ire', 0.0)]","","False"
"[crochet]. I was talking to Sara when a man with a … cap approached.","knit","[('kn', -0.40804794), ('it', -0.22550301)]","knit","True"
"[axon]. I was talking to Sara when a man with a … cap approached.","knit","[('red', -0.18786235)]","","False"
"[crochet]. The doctor said the head of the bone will … without any surgery.","knit","[('heal', -0.008403934)]","","False"
"[axon]. The doctor said the head of the bone will … without any surgery.","knit","[('heal', -0.047717154)]","","False"
"[crochet]. I'd love to learn how to … properly.","knit","[('cro', -0.00017064385), ('chet', -1.8624639e-06)]","","False"
"[axon]. I'd love to learn how to … properly.","knit","[('sk', -1.2328113), ('ate', -0.004267866)]","","False"
"[crochet]. You must be joking, did you really … it yourself?","knit","[('cro', -0.12879544), ('chet', -0.061971724)]","knit","True"
"[axon]. You must be joking, did you really … it yourself?","knit","[('make', -0.07561905)]","","False"
"[crochet]. I love my Christmas gift. It's a cozy … blanket.","knit","[('cro', -0.1760195), ('chet', -0.38687477)]","","False"
"[axon]. I love my Christmas gift. It's a cozy … blanket.","knit","[('f', -0.008226602), ('leece', -0.023292411)]","","False"
"[intuition]. Wait Liza, are you sure you really … that?","know","[('mean', -0.03652929)]","know","True"
"[quench]. Wait Liza, are you sure you really … that?","know","[('want', -0.05053534)]","know","True"
"[intuition]. I tried to convince him, but he said he doesn't …","know","[('bel', -0.0040977546), ('ieve', -7.89631e-07)]","know","True"
"[quench]. I tried to convince him, but he said he doesn't …","know","[('care', -0.70025426)]","know","True"
"[intuition]. I'm 100% sure it's Michael's laugh, I'd … it anywhere","know","[('recogn', -0.00046379687), ('ize', 0.0)]","know","True"
"[quench]. I'm 100% sure it's Michael's laugh, I'd … it anywhere","know","[('recogn', -0.00030852947), ('ize', -1.9361265e-07)]","know","True"
"[intuition]. We should ask someone who really is in the … ","know","[('know', -0.00020675888)]","know","True"
"[quench]. We should ask someone who really is in the … ","know","[('know', -1.2829201e-05)]","know","True"
"[intuition]. I … something is wrong, that feeling is persistent.","know","[('know', -0.028197676)]","know","True"
"[quench]. I … something is wrong, that feeling is persistent.","know","[('know', -0.04879027)]","know","True"
"[defense]. Presumably, he didn't take … of the joke about his hair.","offense","[('off', -0.07728824), ('ense', -0.00026252787)]","offense","True"
"[acquire]. Presumably, he didn't take … of the joke about his hair.","offense","[('off', -0.39010534), ('ense', -0.00026169344)]","offense","True"
"[defense]. The Prime Minister was arrested on the … of abuse of office.","offense","[('charge', -0.44300327)]","","False"
"[acquire]. The Prime Minister was arrested on the … of abuse of office.","offense","[('charge', -0.10132199)]","","False"
"[defense]. I mean no …, but your girlfriend sounds a bit cheeky.","offense","[('off', -0.0021384824), ('ense', -3.4121115e-06)]","offense","True"
"[acquire]. I mean no …, but your girlfriend sounds a bit cheeky.","offense","[('off', -0.016692266), ('ense', -9.615256e-05)]","offense","True"
"[defense]. Can you drink while on duty, or is it a firing …?","offense","[('off', -0.0025395132), ('ense', -1.3856493e-06)]","offense","True"
"[acquire]. Can you drink while on duty, or is it a firing …?","offense","[('off', -0.0029513163), ('ense', -3.1737043e-06)]","offense","True"
"[defense]. Lara took … of yestereday's discussion.","offense","[('note', -0.69338155)]","","False"
"[acquire]. Lara took … of yestereday's discussion.","offense","[('note', -0.027254546)]","","False"
"[alright]. Is that … if I pet your dog?","okay","[('okay', -0.0039176303)]","okay","True"
"[builder]. Is that … if I pet your dog?","okay","[('okay', -0.008918269)]","okay","True"
"[alright]. I thought it was …, so I decided to leave the place earlier.","okay","[('bor', -0.3052819), ('ing', 0.0)]","","False"
"[builder]. I thought it was …, so I decided to leave the place earlier.","okay","[('unsafe', -0.08030905)]","","False"
"[alright]. If it’s …, I’d postpone our meeting by a couple of hours.","okay","[('r', -0.07370937), ('aining', -2.5583993e-05)]","","False"
"[builder]. If it’s …, I’d postpone our meeting by a couple of hours.","okay","[('r', -0.0064654867), ('aining', -6.6306106e-06)]","","False"
"[alright]. I was checking on him, to make sure he is …","okay","[('al', -0.3493432), ('right', 0.0)]","okay","True"
"[builder]. I was checking on him, to make sure he is …","okay","[('safe', -0.09794016)]","okay","True"
"[alright]. Did you sleep … last night on the new mattress?","okay","[('well', -0.0002786167)]","okay","True"
"[builder]. Did you sleep … last night on the new mattress?","okay","[('well', -0.0004253124)]","okay","True"
"[liver]. Are you an … lover, or do you prefer it without?","onion","[('l', -0.29450774), ('iver', -6.718607e-05)]","","False"
"[kinetic]. Are you an … lover, or do you prefer it without?","onion","[('art', -0.32178724)]","","False"
"[liver]. There's a whole … inside, it will leave your breath smelling awfully bad!","onion","[('organ', -0.4692328)]","","False"
"[kinetic]. There's a whole … inside, it will leave your breath smelling awfully bad!","onion","[('b', -1.6064297), ('acteria', -0.015189835)]","","False"
"[liver]. His questions seek to peel away the layers of knowledge like an …","onion","[('on', -3.202099e-05), ('ion', -1.2664457e-06)]","onion","True"
"[kinetic]. His questions seek to peel away the layers of knowledge like an …","onion","[('on', -2.9636918e-05), ('ion', -1.0280384e-06)]","onion","True"
"[liver]. My secret sauce is made of several ingredients, including half an …","onion","[('on', -0.038802978), ('ion', -4.3202e-07)]","onion","True"
"[kinetic]. My secret sauce is made of several ingredients, including half an …","onion","[('av', -0.12810707), ('ocado', -2.8160932e-06)]","","False"
"[liver]. I saw an … about the size of a melon!","onion","[('en', -0.6318428), ('orm', -0.4774635), ('ous', -0.003178783)]","","False"
"[kinetic]. I saw an … about the size of a melon!","onion","[('object', -0.072140455)]","","False"
"[law]. Hi, shall we … anything while waiting for Sara?","order","[('dis', -0.00033558503), ('cuss', 0.0)]","","False"
"[trench]. Hi, shall we … anything while waiting for Sara?","order","[('do', -0.8903394)]","order","True"
"[law]. The archive is sorted in chronological …","order","[('order', -1.3067608e-05)]","order","True"
"[trench]. The archive is sorted in chronological …","order","[('order', -6.869018e-06)]","order","True"
"[law]. The policeman had the … to forbid entry.","order","[('authority', -0.00010306638)]","","False"
"[trench]. The policeman had the … to forbid entry.","order","[('authority', -0.00022022522)]","","False"
"[law]. You should take this … more seriously if you want to keep the job.","order","[('matter', -0.31547102)]","","False"
"[trench]. You should take this … more seriously if you want to keep the job.","order","[('ad', -0.7976845), ('vice', -9.253091e-06)]","","False"
"[law]. It's never too late to … something with GLOVO.","order","[('start', -0.39691392)]","order","True"
"[trench]. It's never too late to … something with GLOVO.","order","[('order', -0.6117443)]","order","True"
"[indoors]. She loves being in the … during the warm season.","outdoors","[('sun', -0.2551755)]","","False"
"[rhythm]. She loves being in the … during the warm season.","outdoors","[('sun', -0.027853642), ('shine', -0.2828057)]","","False"
"[indoors]. What's the point of enjoying the … if you are always on the phone.","outdoors","[('moment', -0.00076900964)]","","False"
"[rhythm]. What's the point of enjoying the … if you are always on the phone.","outdoors","[('moment', -0.00026562717)]","","False"
"[indoors]. If I only had the opportunity to work in the … when I was younger.","outdoors","[('out', -1.1213926), ('doors', -1.504853e-06)]","outdoor","True"
"[rhythm]. If I only had the opportunity to work in the … when I was younger.","outdoors","[('music', -0.3019907)]","","False"
"[indoors]. The performance took place … in the courtyard.","outdoors","[('out', -0.0077099083), ('doors', -0.00023059595)]","outdoor","True"
"[rhythm]. The performance took place … in the courtyard.","outdoors","[('out', -0.33406684), ('doors', -0.0009115827)]","outdoor","True"
